time,current,voltage,fl.hx.position,fl.hx.velocity,fl.hx.acceleration,fl.hx.load,fl.hy.position,fl.hy.velocity,fl.hy.acceleration,fl.hy.load,fl.kn.position,fl.kn.velocity,fl.kn.acceleration,fl.kn.load,fr.hx.position,fr.hx.velocity,fr.hx.acceleration,fr.hx.load,fr.hy.position,fr.hy.velocity,fr.hy.acceleration,fr.hy.load,fr.kn.position,fr.kn.velocity,fr.kn.acceleration,fr.kn.load,hl.hx.position,hl.hx.velocity,hl.hx.acceleration,hl.hx.load,hl.hy.position,hl.hy.velocity,hl.hy.acceleration,hl.hy.load,hl.kn.position,hl.kn.velocity,hl.kn.acceleration,hl.kn.load,hr.hx.position,hr.hx.velocity,hr.hx.acceleration,hr.hx.load,hr.hy.position,hr.hy.velocity,hr.hy.acceleration,hr.hy.load,hr.kn.position,hr.kn.velocity,hr.kn.acceleration,hr.kn.load
1650935790.699352,-4.284000396728516,54.75400161743164,0.1364457607269287,-0.6643651127815247,-0.6643651127815247,2.4178051948547363,0.9105671048164368,3.056110382080078,3.056110382080078,10.521177291870117,-1.533979058265686,-4.049360752105713,-4.049360752105713,-2.0130369663238525,-0.11676248162984848,-0.011072979308664799,-0.011072979308664799,26.62350845336914,0.9034875631332397,0.19659294188022614,0.19659294188022614,-10.101276397705078,-1.507295846939087,-0.04842954874038696,-0.04842954874038696,29.999553680419922,0.13682737946510315,-0.028508435934782028,-0.028508435934782028,-24.90753173828125,0.8958868384361267,0.2134147584438324,0.2134147584438324,-6.778872013092041,-1.505753517150879,-0.34820371866226196,-0.34820371866226196,37.084877014160156,-0.1183699518442154,0.5676355361938477,0.5676355361938477,-4.765731334686279,0.9137192964553833,3.173588991165161,3.173588991165161,9.678844451904297,-1.5324105024337769,-4.0852274894714355,-4.0852274894714355,-2.4011805057525635,
1650935790.747352,-4.284000396728516,54.75400161743164,0.11319626867771149,-0.8671963214874268,-0.8671963214874268,-4.28376579284668,1.0518813133239746,1.8909759521484375,1.8909759521484375,0.35426291823387146,-1.7797194719314575,-5.3515625,-5.3515625,-0.4335945248603821,-0.1206996738910675,-0.3696575462818146,-0.3696575462818146,27.79296875,0.9106202125549316,-0.04443231597542763,-0.04443231597542763,-1.9899665117263794,-1.5177780389785767,0.22354403138160706,0.22354403138160706,32.95284652709961,0.1266399472951889,-0.10953949391841888,-0.10953949391841888,-24.252666473388672,0.8964811563491821,-0.21260999143123627,-0.21260999143123627,3.9867031574249268,-1.5025897026062012,0.2378743588924408,0.2378743588924408,35.596744537353516,-0.113653764128685,-0.053463488817214966,-0.053463488817214966,-0.192655548453331,1.0540002584457397,1.4486236572265625,1.4486236572265625,0.3657868802547455,-1.785293698310852,-4.609967231750488,-4.609967231750488,-1.4074150323867798,
1650935790.765352,-4.284000396728516,54.75400161743164,0.08743491023778915,-1.8358559608459473,-1.8358559608459473,1.8209465742111206,1.0906267166137695,2.3713643550872803,2.3713643550872803,2.467724084854126,-1.875033974647522,-4.891453742980957,-4.891453742980957,0.9558661580085754,-0.12312592566013336,0.018609467893838882,0.018609467893838882,24.665822982788086,0.9106650948524475,0.08499108999967575,0.08499108999967575,-2.6234211921691895,-1.5169631242752075,-0.10695209354162216,-0.10695209354162216,32.02589797973633,0.12664635479450226,0.002921298611909151,0.002921298611909151,-25.619115829467773,0.8947683572769165,0.039420198649168015,0.039420198649168015,2.812183380126953,-1.499825358390808,0.051541414111852646,0.051541414111852646,38.000892639160156,-0.10966366529464722,0.3579365015029907,0.3579365015029907,-2.3056962490081787,1.0857391357421875,2.06148362159729,2.06148362159729,2.061856508255005,-1.8607784509658813,-3.975497245788574,-3.975497245788574,-1.1520097255706787,
1650935790.7743518,-4.284000396728516,54.75400161743164,0.07036564499139786,-1.9500257968902588,-1.9500257968902588,1.883773684501648,1.1126590967178345,2.4973948001861572,2.4973948001861572,1.6720085144042969,-1.9166592359542847,-4.426254749298096,-4.426254749298096,-0.33020326495170593,-0.12324758619070053,-0.01970536634325981,-0.01970536634325981,26.60805320739746,0.9119049906730652,0.16292162239551544,0.16292162239551544,-2.978773832321167,-1.5180177688598633,-0.14318478107452393,-0.14318478107452393,29.63022804260254,0.12656976282596588,0.013281777501106262,0.013281777501106262,-24.360952377319336,0.8953052759170532,0.10001086443662643,0.10001086443662643,0.6375271081924438,-1.499745488166809,-0.09664293378591537,-0.09664293378591537,38.11526107788086,-0.10670156031847,0.2787723243236542,0.2787723243236542,-4.019952297210693,1.1056733131408691,2.254701614379883,2.254701614379883,0.49350297451019287,-1.895500659942627,-3.734611749649048,-3.734611749649048,-1.2055264711380005,
1650935790.786352,-4.284000396728516,54.75400161743164,0.046724315732717514,-1.9531826972961426,-1.9531826972961426,0.5015747547149658,1.1428402662277222,2.510798692703247,2.510798692703247,-1.2219635248184204,-1.9690062999725342,-4.4789299964904785,-4.4789299964904785,-1.0562777519226074,-0.12327315658330917,-0.023300213739275932,-0.023300213739275932,27.499317169189453,0.9142058491706848,0.24357852339744568,0.24357852339744568,-3.262025833129883,-1.5209258794784546,-0.30934837460517883,-0.30934837460517883,26.988780975341797,0.1263401359319687,-0.033466629683971405,-0.033466629683971405,-21.581645965576172,0.8966089487075806,0.08057616651058197,0.08057616651058197,-0.598539412021637,-1.4999691247940063,0.06633227318525314,0.06633227318525314,38.736236572265625,-0.10467115789651871,0.07437656819820404,0.07437656819820404,-4.78126859664917,1.1325548887252808,2.1414506435394287,2.1414506435394287,-2.091470718383789,-1.9413124322891235,-4.053622245788574,-4.053622245788574,-2.183712959289551,
1650935790.795357,-4.284000396728516,54.75400161743164,0.028903357684612274,-2.0568666458129883,-2.0568666458129883,-2.8701529502868652,1.1635828018188477,2.0574867725372314,2.0574867725372314,-5.742844581604004,-2.008234739303589,-4.0210700035095215,-4.0210700035095215,-0.34751778841018677,-0.12350374460220337,5.433815204014536e-06,5.433815204014536e-06,29.59095001220703,0.9163661003112793,0.20228439569473267,0.20228439569473267,-1.1453603506088257,-1.523290753364563,-0.22975853085517883,-0.22975853085517883,28.28071403503418,0.12617427110671997,-0.028736840933561325,-0.028736840933561325,-19.86971664428711,0.8973117470741272,0.04513048380613327,0.04513048380613327,0.3605661392211914,-1.499745488166809,0.055604878813028336,0.055604878813028336,39.4598503112793,-0.10555791109800339,-0.16566646099090576,-0.16566646099090576,-2.8184194564819336,1.1489673852920532,1.474190354347229,1.474190354347229,-5.330350875854492,-1.974644422531128,-3.475733995437622,-3.475733995437622,-1.5678999423980713,
1650935790.822352,-4.372000217437744,54.72600173950195,-0.037626441568136215,-3.0703248977661133,-3.0703248977661133,-3.2418806552886963,1.1838717460632324,-0.35505178570747375,-0.35505178570747375,-3.2746057510375977,-2.088449239730835,-1.7305279970169067,-1.7305279970169067,0.052892230451107025,-0.1244063451886177,0.021223396062850952,0.021223396062850952,27.695085525512695,0.9195298552513123,0.04783140495419502,0.04783140495419502,6.662096977233887,-1.5249686241149902,0.07849491387605667,0.07849491387605667,31.519968032836914,0.12521104514598846,-0.00954412017017603,-0.00954412017017603,-19.276729583740234,0.8964427709579468,-0.0588790588080883,-0.0588790588080883,7.269203186035156,-1.4935296773910522,0.35231712460517883,0.35231712460517883,44.158084869384766,-0.10789023339748383,0.06501454859972,0.06501454859972,-1.6376025676727295,1.152278184890747,-0.8977237343788147,-0.8977237343788147,-2.4337499141693115,-2.035188913345337,-0.7720762491226196,-0.7720762491226196,0.4911833703517914,
1650935790.831352,-4.372000217437744,54.72600173950195,-0.06641358137130737,-3.352632522583008,-3.352632522583008,-2.1476399898529053,1.178239107131958,-0.8363074064254761,-0.8363074064254761,-2.6816201210021973,-2.100688934326172,-0.9284446239471436,-0.9284446239471436,0.3405244052410126,-0.12427832931280136,0.010930828750133514,0.010930828750133514,26.360767364501953,0.919996440410614,0.06862593442201614,0.06862593442201614,8.03715705871582,-1.5239299535751343,0.11826393753290176,0.11826393753290176,31.166776657104492,0.12529397010803223,0.006807269062846899,0.006807269062846899,-20.735994338989258,0.8961488604545593,-0.030665908008813858,-0.030665908008813858,8.874550819396973,-1.4906853437423706,0.3784031867980957,0.3784031867980957,45.84089660644531,-0.10697788000106812,0.06439725309610367,0.06439725309610367,-1.67903470993042,1.1422119140625,-1.3110841512680054,-1.3110841512680054,-2.8117895126342773,-2.0376176834106445,0.2383626401424408,0.2383626401424408,-0.47293591499328613,
1650935790.858367,-4.372000217437744,54.72600173950195,-0.1637670248746872,-3.909379482269287,-3.909379482269287,0.5748732089996338,1.1495904922485352,-0.8249059915542603,-0.8249059915542603,1.3679133653640747,-2.102910041809082,-0.03553725779056549,-0.03553725779056549,-1.9712997674942017,-0.12352932244539261,0.03977864608168602,0.03977864608168602,27.375673294067383,0.9239141941070557,0.2837836742401123,0.2837836742401123,7.3213019371032715,-1.5234665870666504,-0.14992085099220276,-0.14992085099220276,29.97225570678711,0.12542152404785156,-0.006694820709526539,-0.006694820709526539,-20.674118041992188,0.8961167335510254,0.04166831821203232,0.04166831821203232,5.930558681488037,-1.482887625694275,0.22131718695163727,0.22131718695163727,48.60285186767578,-0.10832715779542923,-0.21987715363502502,-0.21987715363502502,-5.035040855407715,1.1029123067855835,-1.248492956161499,-1.248492956161499,0.5905672311782837,-2.018315076828003,0.6975319981575012,0.6975319981575012,-2.3497040271759033,
1650935790.873352,-4.372000217437744,54.72600173950195,-0.22206732630729675,-3.835836172103882,-3.835836172103882,-1.215702772140503,1.1366137266159058,-1.0003976821899414,-1.0003976821899414,-1.9213824272155762,-2.1051950454711914,-0.1692856401205063,-0.1692856401205063,-1.4349143505096436,-0.1236637681722641,-0.03290623053908348,-0.03290623053908348,30.446149826049805,0.9290273785591125,0.40095072984695435,0.40095072984695435,7.939306259155273,-1.526566505432129,-0.2715361714363098,-0.2715361714363098,28.234037399291992,0.12521104514598846,-0.018184468150138855,-0.018184468150138855,-18.229978561401367,0.8969283699989319,0.03582587465643883,0.03582587465643883,5.048386573791504,-1.4784774780273438,0.30584901571273804,0.30584901571273804,50.45463562011719,-0.11588334292173386,-0.7253926992416382,-0.7253926992416382,-6.303900718688965,1.0838154554367065,-1.3577512502670288,-1.3577512502670288,-0.40050968527793884,-2.0112204551696777,0.3244111239910126,0.3244111239910126,-1.7366851568222046,
