time,current,voltage,fl.hx.position,fl.hx.velocity,fl.hx.acceleration,fl.hx.load,fl.hy.position,fl.hy.velocity,fl.hy.acceleration,fl.hy.load,fl.kn.position,fl.kn.velocity,fl.kn.acceleration,fl.kn.load,fr.hx.position,fr.hx.velocity,fr.hx.acceleration,fr.hx.load,fr.hy.position,fr.hy.velocity,fr.hy.acceleration,fr.hy.load,fr.kn.position,fr.kn.velocity,fr.kn.acceleration,fr.kn.load,hl.hx.position,hl.hx.velocity,hl.hx.acceleration,hl.hx.load,hl.hy.position,hl.hy.velocity,hl.hy.acceleration,hl.hy.load,hl.kn.position,hl.kn.velocity,hl.kn.acceleration,hl.kn.load,hr.hx.position,hr.hx.velocity,hr.hx.acceleration,hr.hx.load,hr.hy.position,hr.hy.velocity,hr.hy.acceleration,hr.hy.load,hr.kn.position,hr.kn.velocity,hr.kn.acceleration,hr.kn.load
1644100124.938643,-4.232000350952148,52.612003326416016,0.10689401626586914,-0.3670863211154938,-0.3670863211154938,2.1193759441375732,0.9310158491134644,2.991455078125,2.991455078125,11.84399127960205,-1.54192054271698,-4.003195762634277,-4.003195762634277,-3.5908942222595215,-0.10826075077056885,0.06999820470809937,0.06999820470809937,21.775659561157227,0.910032331943512,0.05716164410114288,0.05716164410114288,-10.090975761413574,-1.4951518774032593,-0.007381092756986618,-0.007381092756986618,29.04282569885254,0.0917845368385315,-0.06148010864853859,-0.06148010864853859,-18.405296325683594,0.9258958101272583,0.1728411614894867,0.1728411614894867,-5.881313323974609,-1.5229629278182983,-0.09619881212711334,-0.09619881212711334,37.36206817626953,-0.10002559423446655,0.5269784927368164,0.5269784927368164,-5.80671501159668,0.931365430355072,3.2118444442749023,3.2118444442749023,12.35577392578125,-1.534136414527893,-3.840080738067627,-3.840080738067627,-3.2870442867279053,
1644100124.965643,-4.232000350952148,52.612003326416016,0.0968785285949707,0.04577028378844261,0.04577028378844261,-1.2890011072158813,1.0273966789245605,2.8173277378082275,2.8173277378082275,-9.280485153198242,-1.6786525249481201,-4.994199752807617,-4.994199752807617,-2.461209297180176,-0.1054503321647644,-0.040227703750133514,-0.040227703750133514,28.797571182250977,0.9158739447593689,0.16168074309825897,0.16168074309825897,-10.899532318115234,-1.5012718439102173,-0.26919832825660706,-0.26919832825660706,25.06775665283203,0.08981335163116455,-0.1471690833568573,-0.1471690833568573,-19.163288116455078,0.9321901798248291,-0.04032309353351593,-0.04032309353351593,-0.6857308149337769,-1.5257751941680908,0.030763570219278336,0.030763570219278336,38.998050689697266,-0.09005993604660034,-0.09573737531900406,-0.09573737531900406,-4.444632053375244,1.0333054065704346,2.929537296295166,2.929537296295166,-9.182268142700195,-1.6794970035552979,-5.4135894775390625,-5.4135894775390625,-3.3076493740081787,
1644100124.9896429,-4.232000350952148,52.612003326416016,0.09236884117126465,-0.824459969997406,-0.824459969997406,-3.864917516708374,1.077113389968872,1.8696870803833008,1.8696870803833008,0.5468565225601196,-1.8008596897125244,-5.285393238067627,-5.285393238067627,-1.113784909248352,-0.10645538568496704,-0.05803724378347397,-0.05803724378347397,25.376771926879883,0.9165579676628113,-0.051794711500406265,-0.051794711500406265,-2.206268072128296,-1.5036526918411255,0.1193644255399704,0.1193644255399704,32.40300750732422,0.08877354860305786,0.03309990093111992,0.03309990093111992,-20.93709373474121,0.9275573492050171,-0.16139495372772217,-0.16139495372772217,5.171480655670166,-1.5223716497421265,0.21764767169952393,0.21764767169952393,36.427040100097656,-0.09103661775588989,0.25299376249313354,0.25299376249313354,-0.9436136484146118,1.076951265335083,1.4377657175064087,1.4377657175064087,0.8511080145835876,-1.799195408821106,-4.627840995788574,-4.627840995788574,-1.4618953466415405,
1644100125.0196428,-4.232000350952148,52.612003326416016,0.04501545429229736,-1.8261157274246216,-1.8261157274246216,2.3445067405700684,1.1420739889144897,2.352346181869507,2.352346181869507,1.1601150035858154,-1.947850227355957,-4.321969985961914,-4.321969985961914,-0.8090636134147644,-0.10553997755050659,0.05889681726694107,0.05889681726694107,23.29029083251953,0.9181237816810608,0.1821206510066986,0.1821206510066986,-2.736721992492676,-1.5055701732635498,-0.3175011873245239,-0.3175011873245239,26.168546676635742,0.0907638669013977,0.0544419102370739,0.0544419102370739,-20.880374908447266,0.9275573492050171,0.08539982885122299,0.08539982885122299,2.2582616806030273,-1.52133309841156,-0.03856867179274559,-0.03856867179274559,40.47006607055664,-0.07943886518478394,0.18689340353012085,0.18689340353012085,-4.403200149536133,1.1325931549072266,2.064971446990967,2.064971446990967,0.2380707859992981,-1.9185582399368286,-3.5704309940338135,-3.5704309940338135,-1.7879002094268799,
1644100125.0526428,-4.156000137329102,52.6400032043457,-0.020871877670288086,-2.425948143005371,-2.425948143005371,-5.870152950286865,1.1925122737884521,0.15402135252952576,0.15402135252952576,-6.092554092407227,-2.069338321685791,-2.3706796169281006,-2.3706796169281006,0.24256160855293274,-0.1058664321899414,-0.0683867484331131,-0.0683867484331131,27.798120498657227,0.9240676760673523,0.04869893193244934,0.04869893193244934,3.618424654006958,-1.5147260427474976,-0.023947976529598236,-0.023947976529598236,29.994853973388672,0.0906745195388794,0.00860564410686493,0.00860564410686493,-14.708149909973145,0.927442193031311,-0.1187186986207962,-0.1187186986207962,6.412675857543945,-1.5195913314819336,0.18132251501083374,0.18132251501083374,43.5032844543457,-0.08321696519851685,-0.12568870186805725,-0.12568870186805725,-1.7722570896148682,1.169189453125,-0.3787190616130829,-0.3787190616130829,-4.160471439361572,-2.0240514278411865,-2.08652925491333,-2.08652925491333,-1.447938084602356,
1644100125.070643,-4.156000137329102,52.6400032043457,-0.07188069820404053,-3.060521125793457,-3.060521125793457,-1.3413572311401367,1.1840378046035767,-0.9631025791168213,-0.9631025791168213,-2.027815580368042,-2.098052501678467,-0.8323863744735718,-0.8323863744735718,-0.2154003381729126,-0.10587286949157715,0.03976605087518692,0.03976605087518692,22.780261993408203,0.9242402911186218,0.003892038483172655,0.003892038483172655,5.74539041519165,-1.513208031654358,0.17756052315235138,0.17756052315235138,30.380537033081055,0.0908403992652893,0.025564532727003098,0.025564532727003098,-17.41010856628418,0.9262535572052002,-0.03273354470729828,-0.03273354470729828,8.70016860961914,-1.5151971578598022,0.31721267104148865,0.31721267104148865,45.407310485839844,-0.08320409059524536,0.1425633579492569,0.1425633579492569,-2.202116012573242,1.1525146961212158,-1.2917985916137695,-1.2917985916137695,-1.5754977464675903,-2.040397882461548,-0.05858080834150314,-0.05858080834150314,-0.8218892216682434,
1644100125.0946429,-4.156000137329102,52.6400032043457,-0.14905542135238647,-3.266493558883667,-3.266493558883667,2.187438726425171,1.1604087352752686,-0.6456691026687622,-0.6456691026687622,3.1519381999969482,-2.0993149280548096,-0.07290926575660706,-0.07290926575660706,-3.0675837993621826,-0.10339528322219849,0.2188166379928589,0.2188166379928589,22.92451286315918,0.9261321425437927,0.2001064419746399,0.2001064419746399,3.582374334335327,-1.5118818283081055,-0.19047407805919647,-0.19047407805919647,29.517826080322266,0.09168881177902222,0.08134044706821442,0.08134044706821442,-20.369890213012695,0.9265220165252686,0.050243113189935684,0.050243113189935684,5.915172100067139,-1.5102756023406982,0.18957149982452393,0.18957149982452393,47.23772048950195,-0.08140504360198975,0.027641817927360535,0.027641817927360535,-4.1390700340271,1.1209421157836914,-1.0725244283676147,-1.0725244283676147,1.8064243793487549,-2.0261447429656982,0.6830906867980957,0.6830906867980957,-1.2918444871902466,
1644100125.1186428,-4.156000137329102,52.6400032043457,-0.2250545620918274,-3.098371744155884,-3.098371744155884,-1.3570640087127686,1.148134469985962,-0.6486495733261108,-0.6486495733261108,-1.591946005821228,-2.1034374237060547,-0.15823271870613098,-0.15823271870613098,-1.4879626035690308,-0.10151952505111694,-0.01773642934858799,-0.01773642934858799,27.339611053466797,0.9328494668006897,0.3176167607307434,0.3176167607307434,3.273372173309326,-1.5180017948150635,-0.25783470273017883,-0.25783470273017883,27.16107940673828,0.09240967035293579,-0.004735725931823254,-0.004735725931823254,-17.14197540283203,0.9280492067337036,0.02807680144906044,0.02807680144906044,4.002089977264404,-1.5063927173614502,0.2343084216117859,0.2343084216117859,47.82212829589844,-0.0854722261428833,-0.3931910991668701,-0.3931910991668701,-5.12308406829834,1.0997424125671387,-0.9051728248596191,-0.9051728248596191,-0.5384430885314941,-2.0173561573028564,0.0784912109375,0.0784912109375,-2.029710054397583,
1644100125.139643,-4.156000137329102,52.6400032043457,-0.2924644351005554,-3.3230628967285156,-3.3230628967285156,-1.4513047933578491,1.1291545629501343,-1.0645325183868408,-1.0645325183868408,-0.33501940965652466,-2.108438730239868,-0.17227450013160706,-0.17227450013160706,-1.0838000774383545,-0.10158354043960571,0.010815847665071487,0.010815847665071487,27.710540771484375,0.9395857453346252,0.31967633962631226,0.31967633962631226,5.338537216186523,-1.5229233503341675,-0.18008700013160706,-0.18008700013160706,28.459768295288086,0.09229481220245361,-0.007729869801551104,-0.007729869801551104,-16.383983612060547,0.9282665252685547,0.024217674508690834,0.024217674508690834,5.694629192352295,-1.5005604028701782,0.3392593264579773,0.3392593264579773,48.438018798828125,-0.0960547924041748,-0.47968941926956177,-0.47968941926956177,-4.434274196624756,1.0776350498199463,-1.0846450328826904,-1.0846450328826904,0.5496980547904968,-2.0167970657348633,0.007419586181640625,0.007419586181640625,-1.5759696960449219,
1644100125.1576428,-4.156000137329102,52.6400032043457,-0.34748202562332153,-2.728053092956543,-2.728053092956543,1.2607370615005493,1.106387734413147,-1.5870492458343506,-1.5870492458343506,-1.7439935207366943,-2.1074960231781006,0.45645421743392944,0.45645421743392944,-0.6441442370414734,-0.1013338565826416,0.036932408809661865,0.036932408809661865,24.804922103881836,0.9451654553413391,0.3175102472305298,0.3175102472305298,7.954756259918213,-1.5232428312301636,0.06991669535636902,0.06991669535636902,31.881149291992188,0.09288173913955688,0.06325368583202362,0.06325368583202362,-19.20969581604004,0.929110050201416,0.06759735196828842,0.06759735196828842,8.42320728302002,-1.4942806959152222,0.4588216245174408,0.4588216245174408,49.675880432128906,-0.10321259498596191,-0.32617640495300293,-0.32617640495300293,-2.9893271923065186,1.0576369762420654,-1.2752907276153564,-1.2752907276153564,-2.4899449348449707,-2.015247106552124,0.3232274055480957,0.3232274055480957,-1.1225767135620117,
